year,site,density,latitude,longitude 
2008,a-l-04,0.0875,34.45849992,-120.3334874
2008,a-l-05,0.0921875,34.39167778,-119.54175
2008,a-l-06,0.31875,34.41371667,-119.8221
2008,a-l-07,0.10625,34.40469558,-119.8644769
2008,a-l-08,0.20625,34.39410555,-119.7296222
2008,a-l-09,0.6078125,34.42210741,-119.9517074
2008,a-l-10,0.625,34.0588,-119.7575
2008,a-l-11,1.04375,34.0445,-119.7155
2008,a-k-21,0.0625,34.0237,-120.3951667
2008,a-p-18,NA,34.40295,-119.8645167
2008,a-p-09,NA,34.46628333,-120.1169667
2008,a-p-10,NA,34.45543333,-120.33205
2008,a-p-17,NA,34.38945,-119.5447667
2009,a-s-01,NA,33.26233333,-119.5801667
2009,a-s-02,NA,33.27325,-119.48615
2009,a-s-03,NA,33.24763333,-119.5703833
2009,a-s-04,NA,33.21665,-119.4854167
2009,a-s-05,NA,33.21688333,-119.4441167
2009,a-k-01,0.282,34.02236667,-120.3874667
2009,a-k-02,0.1515,34.06438333,-120.3566
2009,a-k-03,0.1365,33.90146667,-120.1029667
2009,a-k-04,0.483,33.89753333,-120.10075
2009,a-k-05,0.067,34.03261667,-120.107
2009,a-k-06,0.2645,33.94966667,-119.8275833
2009,a-k-07,0.5665,34.05635,-119.75515
2009,a-k-08,0.42,34.0345,-119.7033333
2009,a-k-09,0.3975,34.04798333,-119.5514
2009,a-k-10,0.2665,33.98983333,-119.5630667
2009,a-k-11,0.9085,34.00775,-119.4343833
2009,a-k-12,0.165,34.01586667,-119.3717333
2009,a-k-13,0.341,34.01666667,-119.3616667
2009,a-k-14,0.071,33.46611667,-119.0277833
2009,a-k-15,0.4115,33.48753333,-119.0275833
2009,a-k-16,0.2025,33.46441667,-119.0391667
2009,a-k-22,0.1965,33.92303333,-120.1873667
2009,a-k-23,0.0835,33.90855,-120.1555
2009,a-k-24,0.1275,33.90036667,-120.1356333
2009,a-k-25,0.229,33.89233333,-120.1195
2009,a-k-26,0.257,34.04493333,-119.6014
2009,a-k-27,0.44,34.05223333,-119.5825333
2009,a-k-28,0.3635,34.05428333,-119.56685
2009,a-k-29,0.6375,34.04415,-119.54245
2009,a-k-30,0.2155,34.03836667,-119.5253
2009,a-k-31,0.2995,34.01641667,-119.4320167
2009,a-k-32,0.4705,34.0045,-119.3857833
2009,a-k-33,0.385,34.0126,-119.3891833
2009,a-k-34,0.3175,34.0141,-119.3590167
2009,a-k-35,0.169,33.48003333,-119.0621167
2009,a-k-36,0.125,33.47306667,-119.02685
2009,a-k-37,0.798,33.46293333,-119.0312667
2009,a-p-56,0.659027778,33.900167,-120.136367
2009,a-p-59,0.435714286,33.90295,-120.099167
2009,a-p-01,1.118333333,34.002883,-119.4252
2009,a-p-03,0.757894737,34.001583,-119.398067
2009,a-p-04,0.635416667,34.017667,-119.363683
2009,a-p-05,1.253623188,34.012783,-119.363133
2009,a-p-06,0.786956522,34.009883,-119.388333
2009,a-p-07,0.803333333,34.016983,-119.432917
2009,a-p-14,0.136111111,34.4412874,-120.4167926
2009,a-p-19,0.563888889,34.48696,-120.5005234
2009,a-p-22,0.950724638,34.42185,-119.9515
2009,a-p-33,0.856481481,34.044933,-119.6014
2009,a-p-36,0.621666667,34.056583,-119.821167
2009,a-p-38,0.60625,34.072867,-119.870983
2009,a-p-39,0.987681159,34.03065,-119.69665
2009,a-p-42,1.380701754,34.048467,-119.546367
2009,a-p-43,0.759722222,34.047983,-119.5514
2009,a-p-34,0.41875,34.051483,-119.909667
2009,a-p-35,1.010185185,33.946467,-119.823183
2009,a-p-37,0.727083333,34.0434,-119.535733
2009,a-p-41,1.564583333,34.038367,-119.5253
2009,a-p-44,0.609027778,33.983617,-119.6384
2009,a-p-45,0.64,33.988533,-119.546983
2009,a-p-47,1.073333333,34.015867,-120.3305
2009,a-p-48,0.469444444,34.051717,-120.346183
2009,a-p-50,1.046527778,34.052783,-120.337383
2009,a-p-52,0.453508772,34.025467,-120.4067
2009,a-p-60,0.959259259,33.897433,-120.100383
2009,a-p-64,0.824603175,33.891567,-120.1192
2009,a-p-32,0.959090909,34.054283,-119.566867
2009,a-p-40,0.624242424,34.050983,-119.575883
2009,a-p-57,0.392156863,33.931667,-120.197417
2009,a-p-65,0.809027778,33.90725,-120.153
2009,a-l-01,0.1,34.400275,-119.7445917
2009,a-l-02,0.16875,34.47181667,-120.1426167
2009,a-l-03,0.425,34.46782143,-120.1192428
2009,a-l-04,0.070833333,34.45849992,-120.3334874
2009,a-l-05,0.175,34.39167778,-119.54175
2009,a-l-06,0.1875,34.41371667,-119.8221
2009,a-l-07,0.225,34.40469558,-119.8644769
2009,a-l-08,0.105902778,34.39410555,-119.7296222
2009,a-l-09,1.2515625,34.42210741,-119.9517074
2009,a-l-10,2.14375,34.0588,-119.7575
2009,a-l-11,2.21875,34.0445,-119.7155
2009,a-k-21,0.08,34.0237,-120.3951667
2009,a-p-18,0.321527778,34.40295,-119.8645167
2009,a-p-09,0.565972222,34.46628333,-120.1169667
2009,a-p-10,0.384722222,34.45543333,-120.33205
2009,a-p-17,NA,34.38945,-119.5447667
2010,a-s-01,0.0228,33.26233333,-119.5801667
2010,a-s-02,0.168,33.27325,-119.48615
2010,a-s-03,0.2506,33.24763333,-119.5703833
2010,a-s-04,0.1978,33.21665,-119.4854167
2010,a-s-05,0.3944,33.21688333,-119.4441167
2010,a-k-01,0.063,34.02236667,-120.3874667
2010,a-k-02,0.129,34.06438333,-120.3566
2010,a-k-03,0.2525,33.90146667,-120.1029667
2010,a-k-04,0.4045,33.89753333,-120.10075
2010,a-k-05,0.047,34.03261667,-120.107
2010,a-k-06,0.351,33.94966667,-119.8275833
2010,a-k-07,0.6025,34.05635,-119.75515
2010,a-k-08,0.206,34.0345,-119.7033333
2010,a-k-09,0.1725,34.04798333,-119.5514
2010,a-k-10,0.1845,33.98983333,-119.5630667
2010,a-k-11,0.9095,34.00775,-119.4343833
2010,a-k-12,0.2655,34.01586667,-119.3717333
2010,a-k-13,0.169,34.01666667,-119.3616667
2010,a-k-14,0.2385,33.46611667,-119.0277833
2010,a-k-15,0.306,33.48753333,-119.0275833
2010,a-k-16,0.2185,33.46441667,-119.0391667
2010,a-k-22,0.144,33.92303333,-120.1873667
2010,a-k-23,0.2805,33.90855,-120.1555
2010,a-k-24,0.189,33.90036667,-120.1356333
2010,a-k-25,0.1505,33.89233333,-120.1195
2010,a-k-26,0.2615,34.04493333,-119.6014
2010,a-k-27,0.3295,34.05223333,-119.5825333
2010,a-k-28,0.626,34.05428333,-119.56685
2010,a-k-29,0.4875,34.04415,-119.54245
2010,a-k-30,0.7005,34.03836667,-119.5253
2010,a-k-31,0.248,34.01641667,-119.4320167
2010,a-k-32,0.6225,34.0045,-119.3857833
2010,a-k-33,0.554,34.0126,-119.3891833
2010,a-k-34,0.1105,34.0141,-119.3590167
2010,a-k-35,0.2265,33.48003333,-119.0621167
2010,a-k-36,0.4145,33.47306667,-119.02685
2010,a-k-37,0.81,33.46293333,-119.0312667
2010,a-p-56,NA,33.900167,-120.136367
2010,a-p-59,NA,33.90295,-120.099167
2010,a-p-01,NA,34.002883,-119.4252
2010,a-p-03,NA,34.001583,-119.398067
2010,a-p-04,0.539583333,34.017667,-119.363683
2010,a-p-05,0.567361111,34.012783,-119.363133
2010,a-p-06,0.620833333,34.009883,-119.388333
2010,a-p-07,1.035833333,34.016983,-119.432917
2010,a-p-14,0.313768116,34.4412874,-120.4167926
2010,a-p-19,0.290277778,34.48696,-120.5005234
2010,a-p-22,0.793650794,34.42185,-119.9515
2010,a-p-33,0.95877193,34.044933,-119.6014
2010,a-p-36,0.66031746,34.056583,-119.821167
