site_id,year,month,biomass_kg
a-p-46,2007,5,NA
a-p-46,2007,6,NA
a-p-46,2007,7,NA
a-p-46,2007,8,123368
a-p-46,2007,9,128085
a-p-46,2007,10,0
a-p-46,2007,11,0
a-p-46,2007,12,0
a-p-46,2008,1,NA
a-p-46,2008,2,0
a-p-46,2008,3,0
a-p-46,2008,4,0
a-p-46,2008,5,1966
a-p-46,2008,6,NA
a-p-46,2008,7,32924
a-p-46,2008,8,NA
a-p-46,2008,9,43973
a-p-46,2008,10,23563
a-p-46,2008,11,11061
a-p-46,2008,12,NA
a-p-46,2009,1,0
a-p-46,2009,2,0
a-p-46,2009,3,0
a-p-46,2009,4,0
a-p-46,2009,5,NA
a-p-46,2009,6,NA
a-p-46,2009,7,15548
a-p-46,2009,8,10997
a-p-46,2009,9,13676
a-p-46,2009,10,0
a-p-46,2009,11,0
a-p-46,2009,12,NA
a-p-46,2010,1,0
a-p-46,2010,2,NA
a-p-46,2010,3,0
a-p-46,2010,4,NA
a-p-46,2010,5,0
a-p-46,2010,6,NA
a-p-46,2010,7,NA
a-p-46,2010,8,NA
a-p-46,2010,9,NA
a-p-46,2010,10,NA
a-p-46,2010,11,17389
a-p-46,2010,12,0
a-p-46,2011,1,0
a-p-46,2011,2,0
a-p-46,2011,3,0
a-p-46,2011,4,0
a-p-46,2011,5,NA
a-p-46,2011,6,NA
a-p-46,2011,7,0
a-p-46,2011,8,8383
a-p-46,2011,9,0
a-p-46,2011,10,0
a-p-46,2011,11,0
a-p-46,2011,12,0
a-p-46,2012,1,0
a-p-46,2012,2,0
a-p-46,2012,3,NA
a-p-46,2012,4,0
a-p-46,2012,5,0
a-p-46,2012,6,30216
a-p-46,2012,7,NA
a-p-46,2012,8,NA
a-p-46,2012,9,0
a-p-46,2012,10,21901
a-p-46,2012,11,NA
a-p-46,2012,12,0
a-p-46,2013,1,0
a-p-46,2013,2,0
a-p-46,2013,3,0
a-p-46,2013,4,6237
a-p-46,2013,5,31871
a-p-46,2013,6,42984
a-p-46,2013,7,30903
a-p-46,2013,8,NA
a-p-46,2013,9,26992
a-p-46,2013,10,9689
a-p-46,2013,11,0
a-p-46,2013,12,0
a-p-46,2014,1,0
a-p-46,2014,2,0
a-p-46,2014,3,0
a-p-46,2014,4,NA
a-p-46,2014,5,0
a-p-46,2014,6,NA
a-p-46,2014,7,NA
a-p-46,2014,8,NA
a-p-46,2014,9,NA
a-p-46,2014,10,0
a-p-46,2014,11,0
a-p-46,2014,12,0
a-p-47,2004,1,1044700
a-p-47,2004,2,345949
a-p-47,2004,3,NA
a-p-47,2004,4,1112404
a-p-47,2004,5,3028862
a-p-47,2004,6,5493960
a-p-47,2004,7,6850617
a-p-47,2004,8,6347931
a-p-47,2004,9,3961868
a-p-47,2004,10,2094605
a-p-47,2004,11,510246
a-p-47,2004,12,807326
a-p-47,2005,1,320114
a-p-47,2005,2,262645
a-p-47,2005,3,NA
a-p-47,2005,4,306250
a-p-47,2005,5,2396311
a-p-47,2005,6,4418707
a-p-47,2005,7,NA
a-p-47,2005,8,5455012
a-p-47,2005,9,3863758
a-p-47,2005,10,3156193
a-p-47,2005,11,1701502
a-p-47,2005,12,1163370
a-p-47,2006,1,214840
a-p-47,2006,2,NA
a-p-47,2006,3,26034
a-p-47,2006,4,217755
a-p-47,2006,5,1520509
a-p-47,2006,6,NA
a-p-47,2006,7,3762230
a-p-47,2006,8,1781329
a-p-47,2006,9,1239540
a-p-47,2006,10,759911
a-p-47,2006,11,552018
a-p-47,2006,12,729780
a-p-47,2007,1,993450
a-p-47,2007,2,684657
a-p-47,2007,3,645260
